92300.01.091;Корпус;Сталь 40ХН D110 22;Сталь 40ХН D110 22;110;1 255;0;2;1;628;1;2
91400.02.011-04;Корпус;Сталь 40ХН ф115_1211500000;Сталь 40ХН;115;1 025;0;2;1;513;1;2
91400.02.011-05;Корпус;Сталь 40ХН ф115_1211500000;Сталь 40ХН;115;1 025;0;2;1;513;1;2
91400.02.021-10;Корпус;Сталь 40ХН ф125_1230000000;Сталь 40ХН;125;1 025;0;2;1;513;1;2
91400.02.021-11;Корпус;Сталь 40ХН ф125_1230000000;Сталь 40ХН;125;1 025;0;2;1;513;1;2
91400.02.021-22;Корпус;Сталь 40ХН D130 22;Сталь 40ХН;130;1 025;0;2;1;513;1;2
91400.02.021-23;Корпус;Сталь 40ХН D130 22;Сталь 40ХН;130;1 025;0;2;1;513;1;2
91400.02.031-24;Корпус;Сталь 40ХН ф150_1266660000;Сталь 40ХН;150;1 125;32;2;1;563;1;2
91400.02.031-25;Корпус;Сталь 40ХН ф150_1266660000;Сталь 40ХН;150;1 125;32;2;1;563;1;2
92300.01.031;Корпус;Сталь 40ХН ф125_1230000000;Сталь 40ХН;125;1 210;0;2;1;605;1;2
86401.020;Колокол К98-75/112;Сталь 20Х ф125_1281000000;Сталь 20Х;125;1 220;52;2;1;610;1;2
96500.05.011;Фрезер;Сталь 38ХГМ ф115_1294081000;Сталь 38ХГМ;115;1 035;35;2;1;518;1;2
96500.08.011;Корпус;Сталь 38ХГМ ф125_1294082000;Сталь 38ХГМ;125;1 026;35;2;1;513;1;2
96500.08.021;Удлинитель;Сталь 38ХГМ ф125_1294082000;Сталь 38ХГМ;125;890;35;2;1;445;1;2
90501.00.097;Корпус;Сталь 40Х ф145_1229102000;Сталь 40Х;145;1 025;32;4;1;256;1;4
90501.00.098;Пилот;Сталь 40Х ф 65_1220000000;Сталь 40Х;65;697;15;2;1;349;1;2
90501.00.076;Корпус;Сталь 40Х ф120_1215500000;Сталь 40Х;120;945;32;4;1;236;1;4
92201.02.041;Корпус;Сталь 20Х ф135_1209913000;Сталь 20Х;135;794;90;3;1;265;1;3
90501.00.137;Корпус;Сталь 40Х ф150_1229100000;Сталь 40Х;150;1 065;45;4;1;266;1;4
90501.00.138;Пилот;Сталь 40Х ф 80_1225390000;Сталь 40Х;80;634;28;2;1;317;1;2
86502.800.007;Корпус;Сталь 40Х ф170_1229105000;Сталь 40Х;170;1 041;138;3;1;347;1;3
96500.02.111;Фрезер;Сталь 38ХГМ ф120_1211102000;Сталь 38ХГМ;120;1 035;35;2;1;518;1;2
96500.02.121;Удлинитель;Сталь 38ХГМ ф120_1211102000;Сталь 38ХГМ;120;886;35;2;1;443;1;2
92201.02.321;Корпус;Сталь 20Х ф135_1209913000;Сталь 20Х;135;794;97;3;1;265;1;3
90501.00.116;Корпус;Сталь 40Х ф135_1229200000;Сталь 40Х;135;1 180;32;5;1;236;1;5
92101.02.071;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;770;102;3;1;257;1;3
92101.02.061;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;770;90;3;1;257;1;3
98300.01.00.005;98300.01.00.005 Ниппель посадочный R 2188;Сталь 10Х11Н23Т3МР ф100_1502020700;Сталь 10Х11Н23Т3МР;100;1 071;50;3;1;357;1;3
86401.611;Колокол КУ110-95/122;Сталь 20ХГНМ ф 135_1211600000;Сталь 20ХГНМ;135;1 077;40;2;1;539;1;2
92101.03.011;Корпус;Сталь 20Х ф120_1279120000;Сталь 20Х;120;984;78;3;1;328;1;3
91400.04.021;Корпус;Сталь 40Х ф120_1215500000;Сталь 40Х;120;1 020;45;2;1;510;1;2
91400.04.031;Корпус;Сталь 40Х ф140_1225490000;Сталь 40Х;140;1 118;35;2;1;559;1;2
92201.01.141;Корпус;Сталь 40Х ф140_1225490000;Сталь 40Х;140;1 004;93;3;1;335;1;3
90300.523;Корпус;Сталь 40Х ф170_1229105000;Сталь 40Х;170;911;45;2;1;456;1;2
90300.511;Корпус;Сталь 40Х ф190 ;Сталь 40Х;190;1 008;123;3;1;336;1;3
90300.411;Корпус;Сталь 40Х ф135_1229200000;Сталь 40Х;135;1 265;64;4;1;316;1;4
86401.131;Колокол;Сталь 20Х ф135_1209913000;Сталь 20Х;135;1 047;80;2;1;524;1;2
86604.041;Метчик;Сталь 20Х ф195 ;Сталь 20Х;195;887;78;2;1;444;1;2
95000.01.002;Плашка140;Сталь 65Г ф125_1017000000;Сталь 65Г;125;1 000;68;24;4;157;4;6
95000.01.003;Полукольцо;Сталь 40ХН ф125_1230000000;Сталь 40ХН;125;1 010;68;22;1;82;1;22
92201.02.331;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;794;80;3;1;265;1;3
90300.611;Корпус;Сталь 40Х ф155_1221550000;Сталь 40Х;155;1 005;93;3;1;335;1;3
90300.623;Корпус;Сталь 40Х ф140_1225490000;Сталь 40Х;140;824;56;2;1;412;1;2
86401.001;Колокол К58-40;Сталь 20Х ф100_1209910000;Сталь 20Х;100;1 007;38;2;1;504;1;2
91400.04.041;Корпус;Сталь 40Х ф160_1229101000;Сталь 40Х;160;1 320;45;2;1;660;1;2
93930.001;Переводник;Сталь 38ХГМ ф130_1294080000;Сталь 38ХГМ;130;1 334;38;3;1;445;1;3
93930.002;Переводник;Сталь 38ХГМ ф125_1294082000;Сталь 38ХГМ;125;1 230;45;3;1;410;1;3
93930.003;Переводник;Сталь 38ХГМ ф125_1294082000;Сталь 38ХГМ;125;1 211;32;3;1;404;1;3
93930.004;Переводник;Сталь 38ХГМ ф125_1294082000;Сталь 38ХГМ;125;1 230;38;3;1;410;1;3
93930.005;Переводник;Сталь 38ХГМ ф120_1211102000;Сталь 38ХГМ;120;1 151;32;3;1;384;1;3
93930.006;Переводник;Сталь 38ХГМ ф105_1212150000;Сталь 38ХГМ;105;1 151;25;3;1;384;1;3
93930.007;Переводник;Сталь 38ХГМ ф105_1212150000;Сталь 38ХГМ;105;1 151;32;3;1;384;1;3
93930.008;Переводник;Сталь 38ХГМ ф 95_1211101000;Сталь 38ХГМ;95;1 004;25;3;1;335;1;3
90501.00.145;Пилот;Сталь 40Х ф 55;Сталь 40Х;55;620;14;2;1;310;1;2
92201.01.061;Корпус;Сталь 40Х ф260_1284094080;Сталь 40Х;260;1 103;138;3;1;368;1;3
92201.02.341;Корпус;Сталь 20Х ф170_1231660000;Сталь 20Х;170;794;110;3;1;265;1;3
92201.02.351;Корпус;Сталь 20Х ф170_1231660000;Сталь 20Х;170;794;117;3;1;265;1;3
92201.02.361;Корпус;Сталь 20Х ф135_1209913000;Сталь 20Х;135;794;97;3;1;265;1;3
97100.115.001;Переводник;Сталь 40ХН ф120_1202120000;Сталь 40ХН;120;945;32;3;1;315;1;3
97100.115.101;Воронка;Сталь 40ХН ф120_1202120000;Сталь 40ХН;120;782;80;3;1;261;1;3
97100.115.201;Корпус;Сталь 40ХН ф120_1202120000;Сталь 40ХН;120;1 353;56;3;1;451;1;3
90300.161;Корпус;Сталь 40Х ф130_1251000000;Сталь 40Х;130;929;86;3;1;310;1;3
92001.01.101;Корпус;Сталь 40Х ф150_1229100000;Сталь 40Х;150;1 320;86;4;1;330;1;4
92001.01.111;Корпус;Сталь 40Х ф180_1229103000;Сталь 40Х;180;1 320;105;4;1;330;1;4
86602.034;Метчик МЭС-114;Сталь 20Х ф145_1207400000;Сталь 20Х;145;1 295;68;4;1;324;1;4
86602.035;Метчик;Сталь 20Х ф145_1207400000;Сталь 20Х;145;978;68;3;1;326;1;3
86602.001;Метчик МЭС-60;Сталь 20Х ф100_1209910000;Сталь 20Х;100;1 078;32;4;1;270;1;4
86602.004;Метчик МЭС-60В;Сталь 20Х ф100_1209910000;Сталь 20Х;100;1 103;32;4;1;276;1;4
86602.005;Метчик МЭС-73В;Сталь 20Х ф100_1209910000;Сталь 20Х;100;1 078;35;4;1;270;1;4
94900.04.821-02;Корпус;Сталь 38ХГМ ф180_1251080000;Сталь 38ХГМ;180;920;58;2;1;460;1;2
96500.12.021;Корпус;Сталь 38ХГМ ф120_1211102000;Сталь 38ХГМ;120;890;35;2;1;445;1;2
96500.13.021;Корпус удлинителя;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 191;56;2;1;596;1;2
96500.12.011;Корпус;Сталь 38ХГМ ф120_1211102000;Сталь 38ХГМ;120;1 035;35;2;1;518;1;2
96500.13.011;Корпус;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 055;56;2;1;528;1;2
91402.00.011-10;Корпус;Сталь 40ХН ф120_1202120000;Сталь 40ХН;120;825;0;2;1;413;1;2
86401.045;Колокол;Сталь 20Х ф 90_1224100000;Сталь 20Х;90;1 154;40;3;1;385;1;3
92201.02.371;Корпус;Сталь 20Х ф 155;Сталь 20Х;155;794;117;3;1;265;1;3
90300.141;Корпус;Сталь 40Х ф135_1229200000;Сталь 40Х;135;944;86;3;1;315;1;3
86604.018-01М2;Метчик МСЗ-171Л;Сталь 20Х ф220 _1200190000;Сталь 20Х;220;894;80;2;1;447;1;2
91401.01.011-10;Корпус;Сталь 40Х ф125_1215600000;Сталь 40Х;125;1 390;32;2;1;695;1;2
86401.010;Колокол К82-60/95;Сталь 20Х ф105_1257105000;Сталь 20Х;105;1 140;45;2;1;570;1;2
92001.01.121;Корпус;Сталь 40Х ф100_1241000000;Сталь 40Х;100;1 240;56;4;1;310;1;4
92001.02.061;Корпус;Сталь 20Х ф120_1279120000;Сталь 20Х;120;1 041;78;4;1;260;1;4
93902.00.00.053;Переводник П-133/102 (Т);Сталь 20Х2Н4А ф170_1248303000;Сталь 20Х2Н4А;170;1 018;70;2;1;509;1;2
96500.15.011;Корпус;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 017;56;2;1;509;1;2
96500.15.021;Удлинитель;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 187;56;2;1;594;1;2
86401.905;86401.905 Колокол К85-64(З-86);Сталь 20Х ф120_1279120000;Сталь 20Х;120;1 127;56;2;1;564;1;2
92101.02.101;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;1 006;98;4;1;252;1;4
92101.02.111;Корпус;Сталь 20Х ф125_1281000000;Сталь 20Х;125;770;90;3;1;257;1;3
92101.02.121;Корпус;Сталь 20Х ф125_1281000000;Сталь 20Х;125;770;90;3;1;257;1;3
92101.02.051;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;770;90;3;1;257;1;3
92101.01.151;Корпус;Сталь 40Х ф 85_1225391000;Сталь 40Х;85;1 051;50;5;1;210;1;5
92001.01.131;Корпус;Сталь 40Х ф 85_1225391000;Сталь 40Х;85;1 051;50;5;1;210;1;5
92001.02.101;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;1 041;86;4;1;260;1;4
92001.02.111;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;1 041;86;4;1;260;1;4
92001.02.081;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;1 041;93;4;1;260;1;4
92001.02.091;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;1 041;90;4;1;260;1;4
92001.02.071;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;1 041;93;4;1;260;1;4
92001.02.041;Корпус;Сталь 20Х ф135_1209913000;Сталь 20Х;135;1 029;102;4;1;257;1;4
92101.02.131;Корпус;Сталь 20Х ф220 _1200190000;Сталь 20Х;220;773;138;3;1;258;1;3
96500.06.011;Фрезер;Сталь 38ХГМ ф190_1251082000;Сталь 38ХГМ;190;1 482;78;2;1;741;1;2
96500.06.001;Цанга;Сталь 65Г ф100_1025000000;Сталь 65Г;100;967;68;10;1;97;1;10
96500.07.001;Цанга;Сталь 65Г ф125_1017000000;Сталь 65Г;125;1 167;93;10;1;117;1;10
96500.10.011;Корпус;Сталь 38ХГМ ф150_1294070000;Сталь 38ХГМ;150;1 060;56;2;1;530;1;2
96500.10.021;Корпус;Сталь 38ХГМ ф150_1294070000;Сталь 38ХГМ;150;1 195;56;2;1;598;1;2
96500.10.001;Цанга;Сталь 65Г ф 70;Сталь 65Г;70;847;50;10;1;85;1;10
96500.11.011;Корпус;Сталь 38ХГМ ф170_1212160000;Сталь 38ХГМ;170;1 090;78;2;1;545;1;2
96500.11.021;Корпус;Сталь 38ХГМ ф170_1212160000;Сталь 38ХГМ;170;1 320;78;2;1;660;1;2
96500.03.011;Фрезер;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 025;60;2;1;513;1;2
92201.01.101;Корпус;Сталь 40Х ф210_1282010100;Сталь 40Х;210;1 013;138;3;1;338;1;3
92201.01.111;Корпус;Сталь 40Х ф200_1229290000;Сталь 40Х;200;1 013;123;3;1;338;1;3
92201.01.091;Корпус;Сталь 40Х ф210_1282010100;Сталь 40Х;210;1 013;93;3;1;338;1;3
95000.00.003;Полукольцо;Сталь 40ХН ф140_1264670000;Сталь 40ХН;140;1 281;78;28;1;82;1;28
95000.00.004;Полукольцо;Сталь 40ХН ф140_1264670000;Сталь 40ХН;140;1 281;78;28;1;82;1;28
95000.00.009;Плашка178;Сталь 65Г ф 155;Сталь 65Г;155;1 145;78;18;3;182;3;6
